TOWN,TRACT,LON,LAT,MEDV,CMEDV,CRIM,log_crim,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,log_tax,PTRATIO,B,LSTAT,value_segment,high_value,dist_boston_core,north_south,east_west,spatial_zone
Bedford,3591,-71.27060889999998,42.4891231,31.1,31.1,0.02187,0.021634282125149704,60.0,2.93,0,0.401,6.8,9.9,6.2196,1,265,5.583496308781699,15.6,393.37,5.03,High,1,0.24960275862420456,Northern tracts,Western tracts,Northern tracts / Western tracts
Bedford,3593,-71.28140889999999,42.4921231,29.1,29.1,0.01439,0.01428744660806955,60.0,2.93,0,0.401,6.604,18.8,6.2196,1,265,5.583496308781699,15.6,376.7,4.38,High,1,0.2604147997960447,Northern tracts,Western tracts,Northern tracts / Western tracts
Beverly,2173,-70.89063233333334,42.56884496666667,18.7,18.7,0.14932,0.13917046313797143,25.0,5.13,0,0.453,5.741,66.2,7.2254,8,284,5.652489180268651,19.7,395.11,13.15,Mid-low,0,0.2670101507697976,Northern tracts,Eastern tracts,Northern tracts / Eastern tracts
Beverly,2174,-70.89213233333334,42.55484496666667,16.0,16.0,0.17171,0.15846422026338805,25.0,5.13,0,0.453,5.966,93.4,6.8185,8,284,5.652489180268651,19.7,378.08,14.44,Low,0,0.2552369654800169,Northern tracts,Eastern tracts,Northern tracts / Eastern tracts
Beverly,2175,-70.88213233333335,42.559844966666674,22.2,22.2,0.11027,0.1046032289886448,25.0,5.13,0,0.453,6.456,67.8,7.2255,8,284,5.652489180268651,19.7,396.9,6.73,Mid-high,0,0.26554982874678196,Northern tracts,Eastern tracts,Northern tracts / Eastern tracts
Beverly,2176,-70.88213233333335,42.55034496666667,25.0,25.0,0.1265,0.11911548089016208,25.0,5.13,0,0.453,6.762,43.4,7.9809,8,284,5.652489180268651,19.7,395.58,9.5,Mid-high,1,0.2584761249724573,Northern tracts,Eastern tracts,Northern tracts / Eastern tracts
Beverly,2172,-70.87363233333333,42.55484496666667,19.6,19.6,0.10328,0.09828756118394519,25.0,5.13,0,0.453,5.927,47.2,6.932,8,284,5.652489180268651,19.7,396.9,9.22,Mid-low,0,0.26755982922351235,Northern tracts,Eastern tracts,Northern tracts / Eastern tracts
Beverly,2171,-70.85963233333334,42.56184496666667,23.3,23.3,0.15445,0.1436240400828755,25.0,5.13,0,0.453,6.145,29.2,7.8148,8,284,5.652489180268651,19.7,390.68,6.86,Mid-high,0,0.282303713071778,Northern tracts,Eastern tracts,Northern tracts / Eastern tracts
Boston Allston-Brighton,3,-71.12718619999998,42.3607913,22.7,22.7,5.20177,1.8248347351792473,0.0,18.1,1,0.77,6.127,83.4,2.7227,24,666,6.502790045915623,20.2,395.43,11.48,Mid-high,0,0.07019066053348756,Northern tracts,Western tracts,Northern tracts / Western tracts
Boston Allston-Brighton,4,-71.13918619999998,42.3555913,22.6,22.6,4.26131,1.6603800451716153,0.0,18.1,0,0.77,6.112,81.3,2.5091,24,666,6.502790045915623,20.2,390.74,12.67,Mid-high,0,0.08230436261904278,Northern tracts,Western tracts,Northern tracts / Western tracts
Boston Allston-Brighton,5,-71.14488619999999,42.3535913,25.0,25.0,4.54192,1.7123410111146564,0.0,18.1,0,0.77,6.398,88.0,2.5182,24,666,6.502790045915623,20.2,374.56,7.79,Mid-high,1,0.08811955280258454,Northern tracts,Western tracts,Northern tracts / Western tracts
Boston Allston-Brighton,2,-71.13718619999999,42.3505913,21.7,21.7,3.8497,1.578916847366148,0.0,18.1,1,0.77,6.395,91.0,2.5052,24,666,6.502790045915623,20.2,391.34,13.27,Mid-high,0,0.08073630104313517,Southern tracts,Western tracts,Southern tracts / Western tracts
Boston Allston-Brighton,1,-71.13468619999999,42.3468913,17.8,17.8,8.98296,2.3008796395346813,0.0,18.1,1,0.77,6.212,97.4,2.1222,24,666,6.502790045915623,20.2,377.73,17.6,Mid-low,0,0.07878441271043436,Southern tracts,Western tracts,Southern tracts / Western tracts
Boston Allston-Brighton,7,-71.13068619999999,42.3535913,20.8,20.8,3.67822,1.5429176957008952,0.0,18.1,0,0.77,5.362,96.2,2.1036,24,666,6.502790045915623,20.2,380.79,10.19,Mid-low,0,0.07396436646201694,Northern tracts,Western tracts,Northern tracts / Western tracts
Boston Allston-Brighton,8,-71.12518619999999,42.3515913,16.8,16.8,4.22239,1.6529551515173315,0.0,18.1,1,0.77,5.803,89.0,1.9047,24,666,6.502790045915623,20.2,353.04,14.64,Low,0,0.0687027226980703,Northern tracts,Western tracts,Northern tracts / Western tracts
Boston Allston-Brighton,6,-71.13068619999999,42.3585913,19.9,19.9,3.83684,1.5762616149393935,0.0,18.1,0,0.77,6.251,91.1,2.2955,24,666,6.502790045915623,20.2,350.65,14.19,Mid-low,0,0.07369966421991023,Northern tracts,Western tracts,Northern tracts / Western tracts
Boston Back Bay,102,-71.0864757,42.35131480000001,27.5,27.5,4.55587,1.7148550264902072,0.0,18.1,0,0.718,3.561,87.9,1.6132,24,666,6.502790045915623,20.2,354.7,7.12,High,1,0.030728644446661044,Southern tracts,Western tracts,Southern tracts / Western tracts
Boston Back Bay,107,-71.0869757,42.34901480000001,50.0,50.0,4.89822,1.7746506104773532,0.0,18.1,0,0.631,4.97,100.0,1.3325,24,666,6.502790045915623,20.2,375.52,3.26,High,1,0.03192518143299036,Southern tracts,Western tracts,Southern tracts / Western tracts
Boston Back Bay,108,-71.0814757,42.34671480000001,50.0,50.0,5.66998,1.8976168614222872,0.0,18.1,1,0.631,6.683,96.8,1.3567,24,666,6.502790045915623,20.2,375.33,3.73,High,1,0.027848813790350178,Southern tracts,Western tracts,Southern tracts / Western tracts
Boston Back Bay,104,-71.07827569999999,42.34851480000001,21.9,21.9,3.69695,1.5469133618955864,0.0,18.1,0,0.718,4.963,91.4,1.7523,24,666,6.502790045915623,20.2,316.03,14.0,Mid-high,0,0.024177783801028946,Southern tracts,Eastern tracts,Southern tracts / Eastern tracts
Boston Back Bay,105,-71.0754757,42.35201480000001,23.1,23.1,13.5222,2.675678513070904,0.0,18.1,0,0.631,3.863,100.0,1.5106,24,666,6.502790045915623,20.2,131.42,13.33,Mid-high,0,0.020127466545237057,Northern tracts,Eastern tracts,Northern tracts / Eastern tracts
Boston Back Bay,101,-71.0771757,42.35401480000001,21.9,21.9,3.47428,1.4983454449272653,0.0,18.1,1,0.718,8.78,82.9,1.9047,24,666,6.502790045915623,20.2,354.55,5.29,Mid-high,0,0.02104474969035553,Northern tracts,Eastern tracts,Northern tracts / Eastern tracts
Boston Beacon Hill,201,-71.07173889999999,42.356999900000005,50.0,50.0,6.53876,2.020057712262034,0.0,18.1,1,0.631,7.016,97.5,1.2024,24,666,6.502790045915623,20.2,392.05,2.96,High,1,0.01504113603487031,Northern tracts,Eastern tracts,Northern tracts / Eastern tracts
Boston Beacon Hill,203,-71.0712389,42.35859990000001,50.0,50.0,8.26725,2.226486679687524,0.0,18.1,1,0.668,5.875,89.6,1.1296,24,666,6.502790045915623,20.2,347.88,8.88,High,1,0.014307569787348118,Northern tracts,Eastern tracts,Northern tracts / Eastern tracts
Boston Beacon Hill,202,-71.06923889999999,42.36079990000001,50.0,50.0,9.2323,2.3255493836278043,0.0,18.1,0,0.631,6.216,100.0,1.1691,24,666,6.502790045915623,20.2,366.15,9.53,High,1,0.012265011749675004,Northern tracts,Eastern tracts,Northern tracts / Eastern tracts
Boston Charlestown,406,-71.05779643333332,42.37573983333333,10.4,10.4,88.9762,4.4995451909142234,0.0,18.1,0,0.671,6.968,91.9,1.4165,24,666,6.502790045915623,20.2,396.9,17.21,Low,0,0.01575997015908836,Northern tracts,Eastern tracts,Northern tracts / Eastern tracts
Boston Charlestown,405,-71.05509643333333,42.37773983333334,10.2,10.2,17.8667,2.937398463323919,0.0,18.1,0,0.671,6.223,100.0,1.3861,24,666,6.502790045915623,20.2,393.74,21.78,Low,0,0.017841671803646545,Northern tracts,Eastern tracts,Northern tracts / Eastern tracts
Boston Charlestown,401,-71.05909643333332,42.37823983333334,15.0,15.0,19.6091,3.0257327258266167,0.0,18.1,0,0.671,7.313,97.9,1.3163,24,666,6.502790045915623,20.2,396.9,13.44,Low,0,0.018359917013675873,Northern tracts,Eastern tracts,Northern tracts / Eastern tracts
Boston Charlestown,403,-71.06109643333333,42.37653983333334,13.3,13.3,9.82349,2.381718772241792,0.0,18.1,0,0.671,6.794,98.8,1.358,24,666,6.502790045915623,20.2,396.9,21.24,Low,0,0.017039567270006786,Northern tracts,Eastern tracts,Northern tracts / Eastern tracts
